"Arm","Total_Cost","Total_QALY","Inc_Cost","Inc_QALY","ICER","NMB_20k","NMB_50k","NMB_80k","Scenario"
"SoC",144462.79860649,1.75339698024321,0,0,NA,0,0,0,"Base case"
"Psychosocial",164042.106658862,2.14945372201418,19579.308052372,0.396056741770973,49435.6136063304,-11658.1732169526,223.529036176638,12105.2312893058,"Base case"
"Technology",160109.659020737,1.97760624588249,15646.8604142478,0.224209265639287,69786.8590293714,-11162.6751014621,-4436.39713228345,2289.88083689515,"Base case"
"Combination",176027.304568188,2.38956641535362,31564.5059616982,0.636169435110412,49616.5081496251,-18841.1172594899,243.965793822419,19329.0488471348,"Base case"
"SoC",140054.087627503,2.00775348687552,0,0,NA,0,0,0,"Early-stage dominant (MCI/Mild)"
"Psychosocial",157320.161282458,2.44408995921236,17266.073654955,0.436336472336839,39570.5487613377,-8539.34420821819,4550.74996188698,17640.8441319921,"Early-stage dominant (MCI/Mild)"
"Technology",154259.15402546,2.25619092800983,14205.0663979573,0.248437441134314,57177.6393006621,-9236.31757527101,-1783.19434124158,5669.92889278786,"Early-stage dominant (MCI/Mild)"
"Combination",167590.216118563,2.70804192429044,27536.1284910598,0.700288437414928,39321.1240109972,-13530.3597427613,7478.2933796866,28486.9465021344,"Early-stage dominant (MCI/Mild)"
"SoC",152297.866752822,1.18070942573446,0,0,NA,0,0,0,"Late-stage dominant (Moderate/Severe)"
"Psychosocial",178127.049789892,1.49062139687126,25829.1830370694,0.309911971136799,83343.6118725083,-19630.9436143334,-10333.5844802294,-1036.22534612547,"Late-stage dominant (Moderate/Severe)"
"Technology",171816.309243281,1.35293230837625,19518.4424904584,0.172222882641792,113332.457284756,-16073.9848376226,-10907.2983583688,-5740.61187911504,"Late-stage dominant (Moderate/Severe)"
"Combination",194869.62709545,1.68205018437805,42571.7603426276,0.50134075864359,84915.8174528004,-32544.9451697558,-17504.722410448,-2464.49965114034,"Late-stage dominant (Moderate/Severe)"
"SoC",144462.79860649,1.75339698024321,0,0,NA,0,0,0,"Healthcare perspective (no informal costs)"
"Psychosocial",164042.106658862,2.14945372201418,19579.308052372,0.396056741770973,49435.6136063304,-11658.1732169526,223.529036176638,12105.2312893058,"Healthcare perspective (no informal costs)"
"Technology",160109.659020737,1.97760624588249,15646.8604142478,0.224209265639287,69786.8590293714,-11162.6751014621,-4436.39713228345,2289.88083689515,"Healthcare perspective (no informal costs)"
"Combination",176027.304568188,2.38956641535362,31564.5059616982,0.636169435110412,49616.5081496251,-18841.1172594899,243.965793822419,19329.0488471348,"Healthcare perspective (no informal costs)"
"SoC",139489.28380098,1.72069557747231,0,0,NA,0,0,0,"Shortened horizon (10 years)"
"Psychosocial",151232.92459373,2.08298958994314,11743.6407927496,0.362294012470827,32414.6698220556,-4497.76054333302,6371.0598307918,17239.8802049166,"Shortened horizon (10 years)"
"Technology",149721.464175033,1.92583102165019,10232.1803740525,0.205135444177878,49880.1190357915,-6129.47149049496,24.5918348413725,6178.65516017771,"Shortened horizon (10 years)"
"Combination",158419.66190325,2.29212036362152,18930.37810227,0.571424786149203,33128.3811292833,-7501.88237928592,9640.86120519018,26783.6047896663,"Shortened horizon (10 years)"
"SoC",144462.79860649,1.75339698024321,0,0,NA,0,0,0,"Technology cost halved (scale-up scenario)"
"Psychosocial",164042.106658862,2.14945372201418,19579.308052372,0.396056741770973,49435.6136063304,-11658.1732169526,223.529036176638,12105.2312893058,"Technology cost halved (scale-up scenario)"
"Technology",160109.659020737,1.97760624588249,15646.8604142478,0.224209265639287,69786.8590293714,-11162.6751014621,-4436.39713228345,2289.88083689515,"Technology cost halved (scale-up scenario)"
"Combination",176027.304568188,2.38956641535362,31564.5059616982,0.636169435110412,49616.5081496251,-18841.1172594899,243.965793822419,19329.0488471348,"Technology cost halved (scale-up scenario)"
